DATE,REGION,FATAL,SERIOUS,NOINJURY,OTHER
26/08/2016,EASTERN REGION,0,1,0,4
27/08/2016,EASTERN REGION,0,1,0,2
28/08/2016,EASTERN REGION,0,0,0,4
29/08/2016,EASTERN REGION,0,1,0,1
30/08/2016,EASTERN REGION,0,1,0,1
31/08/2016,EASTERN REGION,0,1,0,0
1/09/2016,EASTERN REGION,0,2,0,2
2/09/2016,EASTERN REGION,0,0,0,0
3/09/2016,EASTERN REGION,0,1,0,3
4/09/2016,EASTERN REGION,0,0,0,0
5/09/2016,EASTERN REGION,0,0,0,2
6/09/2016,EASTERN REGION,0,0,0,2
7/09/2016,EASTERN REGION,0,1,0,1
8/09/2016,EASTERN REGION,0,1,0,0
9/09/2016,EASTERN REGION,2,0,0,3
10/09/2016,EASTERN REGION,0,1,0,2
11/09/2016,EASTERN REGION,0,2,0,1
12/09/2016,EASTERN REGION,0,1,0,2
13/09/2016,EASTERN REGION,0,0,0,0
14/09/2016,EASTERN REGION,0,1,0,1
15/09/2016,EASTERN REGION,0,1,0,0
16/09/2016,EASTERN REGION,0,2,0,0
17/09/2016,EASTERN REGION,0,0,0,2
18/09/2016,EASTERN REGION,0,2,0,4
19/09/2016,EASTERN REGION,0,0,0,0
20/09/2016,EASTERN REGION,0,0,0,0
21/09/2016,EASTERN REGION,0,0,0,2
22/09/2016,EASTERN REGION,0,0,0,2
23/09/2016,EASTERN REGION,0,1,0,2
24/09/2016,EASTERN REGION,0,1,0,3
25/09/2016,EASTERN REGION,0,2,0,0
26/09/2016,EASTERN REGION,0,0,0,1
27/09/2016,EASTERN REGION,0,2,0,2
28/09/2016,EASTERN REGION,0,1,0,2
29/09/2016,EASTERN REGION,0,0,0,2
30/09/2016,EASTERN REGION,0,1,0,1
1/10/2016,EASTERN REGION,0,3,0,1
2/10/2016,EASTERN REGION,0,2,0,3
3/10/2016,EASTERN REGION,0,3,0,3
4/10/2016,EASTERN REGION,0,0,0,1
5/10/2016,EASTERN REGION,0,0,0,5
6/10/2016,EASTERN REGION,0,1,0,0
7/10/2016,EASTERN REGION,0,1,0,2
8/10/2016,EASTERN REGION,0,3,0,3
9/10/2016,EASTERN REGION,0,1,0,2
10/10/2016,EASTERN REGION,0,1,0,2
11/10/2016,EASTERN REGION,0,1,0,0
12/10/2016,EASTERN REGION,0,1,0,0
13/10/2016,EASTERN REGION,0,0,0,1
14/10/2016,EASTERN REGION,0,0,0,4
15/10/2016,EASTERN REGION,0,1,0,2
16/10/2016,EASTERN REGION,0,0,0,5
17/10/2016,EASTERN REGION,0,0,0,1
18/10/2016,EASTERN REGION,0,0,0,5
19/10/2016,EASTERN REGION,0,2,0,0
20/10/2016,EASTERN REGION,0,3,0,0
21/10/2016,EASTERN REGION,0,1,0,0
22/10/2016,EASTERN REGION,0,1,0,3
23/10/2016,EASTERN REGION,0,0,0,2
24/10/2016,EASTERN REGION,0,1,0,4
25/10/2016,EASTERN REGION,1,0,0,1
26/10/2016,EASTERN REGION,0,0,0,0
27/10/2016,EASTERN REGION,0,0,0,0
28/10/2016,EASTERN REGION,0,0,0,3
29/10/2016,EASTERN REGION,0,2,0,1
30/10/2016,EASTERN REGION,0,2,0,5
31/10/2016,EASTERN REGION,1,3,0,2
1/11/2016,EASTERN REGION,0,3,0,2
2/11/2016,EASTERN REGION,0,1,0,0
3/11/2016,EASTERN REGION,0,1,0,0
4/11/2016,EASTERN REGION,0,2,0,1
5/11/2016,EASTERN REGION,0,0,0,3
6/11/2016,EASTERN REGION,0,3,0,1
7/11/2016,EASTERN REGION,0,0,0,0
8/11/2016,EASTERN REGION,0,2,0,2
9/11/2016,EASTERN REGION,0,0,0,1
10/11/2016,EASTERN REGION,0,1,0,3
11/11/2016,EASTERN REGION,0,0,0,0
12/11/2016,EASTERN REGION,1,4,0,3
13/11/2016,EASTERN REGION,0,0,0,2
14/11/2016,EASTERN REGION,0,1,0,1
15/11/2016,EASTERN REGION,0,0,0,2
16/11/2016,EASTERN REGION,0,1,0,1
17/11/2016,EASTERN REGION,0,0,0,2
18/11/2016,EASTERN REGION,0,0,0,1
19/11/2016,EASTERN REGION,0,1,0,3
20/11/2016,EASTERN REGION,1,2,0,3
21/11/2016,EASTERN REGION,0,1,0,3
22/11/2016,EASTERN REGION,1,1,0,2
23/11/2016,EASTERN REGION,0,0,0,1
24/11/2016,EASTERN REGION,0,0,0,0
25/11/2016,EASTERN REGION,0,0,0,2
26/11/2016,EASTERN REGION,0,2,0,4
27/11/2016,EASTERN REGION,0,2,0,0
28/11/2016,EASTERN REGION,0,0,0,2
29/11/2016,EASTERN REGION,0,0,0,2
30/11/2016,EASTERN REGION,0,1,0,2
1/12/2016,EASTERN REGION,0,1,0,1
2/12/2016,EASTERN REGION,1,2,0,0
3/12/2016,EASTERN REGION,0,2,0,0
4/12/2016,EASTERN REGION,0,2,0,4
5/12/2016,EASTERN REGION,0,0,0,2
6/12/2016,EASTERN REGION,0,2,0,0
7/12/2016,EASTERN REGION,0,0,0,2
8/12/2016,EASTERN REGION,0,1,0,3
9/12/2016,EASTERN REGION,0,0,0,3
10/12/2016,EASTERN REGION,0,1,0,3
11/12/2016,EASTERN REGION,0,4,0,3
12/12/2016,EASTERN REGION,0,0,0,2
13/12/2016,EASTERN REGION,0,1,0,0
14/12/2016,EASTERN REGION,0,0,0,1
15/12/2016,EASTERN REGION,0,1,0,0
16/12/2016,EASTERN REGION,0,1,0,2
17/12/2016,EASTERN REGION,1,0,0,2
18/12/2016,EASTERN REGION,0,1,0,1
19/12/2016,EASTERN REGION,0,2,0,5
20/12/2016,EASTERN REGION,0,0,0,0
21/12/2016,EASTERN REGION,0,0,0,1
22/12/2016,EASTERN REGION,0,1,0,0
23/12/2016,EASTERN REGION,0,1,0,2
24/12/2016,EASTERN REGION,0,1,0,1
25/12/2016,EASTERN REGION,0,0,0,3
26/12/2016,EASTERN REGION,0,1,0,1
27/12/2016,EASTERN REGION,0,1,0,1
28/12/2016,EASTERN REGION,0,1,0,5
29/12/2016,EASTERN REGION,0,1,0,0
30/12/2016,EASTERN REGION,0,1,0,3
31/12/2016,EASTERN REGION,0,0,0,0
1/01/2017,EASTERN REGION,0,0,0,2
2/01/2017,EASTERN REGION,1,0,0,2
3/01/2017,EASTERN REGION,0,3,0,2
4/01/2017,EASTERN REGION,0,0,0,2
5/01/2017,EASTERN REGION,1,1,0,0
